ID,Previous severity,Current severity,Area,Status,Delta vs previous review,Previous evidence,Current evidence,Delta,Affected URLs/count,Root cause,Exact next fix,Effort,Expected impact,Dependency,Owner type,Register status
FR-001,P1,P1,Organic traffic / GSC,BLOCKED_EXTERNAL,UNCHANGED,8 clicks / 115457 imp / pos 74.5 STALE,Identical STALE window 2026-08-13; 8/115457/74.5; movement NOT_MEASURABLE,0,995 pages w/ impressions,Depth + stale measurement,Import fresh GSC; then Lane A CTR; deploy,L,Unlock clicks,Fresh GSC+deploy+time,editorial+seo,blocked_external
FR-002,P1,P1,Content uniqueness,IN_PROGRESS,IMPROVED_PARTIAL,factory 1272; limited unique 1373,factoryPackCount 1272; limitedUniqueAnalysisCount 1342 (−31); factory-100b cleared 7 estate rows,0 packs / −31 limited unique,1272 factory packs,Programmatic packs,Continue IMPROVE+promote only with unique_analysis estate clears,XL,Reduce template risk,enrichment,editorial,in_progress
FR-003,P1,P1,Evidence / credibility,IN_PROGRESS,IMPROVED_PARTIAL,DV115 HO0,DV164 reconcile (+49) HO0; evidence wave 96 products; top-10 HO packs still incomplete,+49 DV / 0 HO,315 products,No human sessions,Human finish top-10 ProductTestSessions,L,Trust,human testers,editorial,in_progress
FR-004,P1,P1,Authority,BLOCKED_EXTERNAL,UNCHANGED,NOT_CONNECTED,Still NOT_CONNECTED — outreach drafts only,0,sitewide,No REAL export,Drop Ahrefs/Semrush CSV under data/seo/imports/,M,Authority,export,growth,blocked_external
FR-005,P1,P1,Data freshness,BLOCKED_EXTERNAL,UNCHANGED,GSC through 2026-08-13,Identical archive; no newer Performance/Coverage/page×query,0,all opportunity reporting,No newer export,Weekly GSC+page×query export,S,Trustworthy before/after,GSC access,seo-ops,blocked_external
FR-006,P1,P1,Engineering quality,RESOLVED,RESOLVED,tsc/tests/lint held,CLIs green this audit (guides/KG/growth/DV),0,CI,Prior debt cleared,Keep CI green,L,Safer deploys,eng,engineering,resolved
FR-007,P2,P2,Indexable quality,RESOLVED,RESOLVED,Gates held,Guides searchIndexable 508; hard gates held,0,guides,Gates held,Maintain hard gates,M,Index quality,editorial,editorial+engineering,resolved
FR-008,P2,P2,Comparisons,IN_PROGRESS,IMPROVED_PARTIAL,Large IMPROVE backlog,Factory/lane work continued; estate IMPROVE guides 1079 still large,partial,compare/guide backlog,Weak pairs,Rehab Lane A; keep gates,L,Safer compares,enrichment,editorial,in_progress
FR-009,P2,P2,Internal linking,IN_PROGRESS,IMPROVED,KG flat; orphans 80/80,Orphans 15/80 (−65); semantic edges still 26853,−65 orphans / 0 semantic edges,IMPROVE sample 80,Prior overlay/count gap partially closed for orphans,Keep orphan sample as KPI; do not credit contextual edge inflation,M,Discoverability,KG,seo,in_progress
FR-010,P2,P2,Commercial measurement,IN_PROGRESS,UNCHANGED,clicks REAL0; conv NOT_CONNECTED,Adapters/import dirs ready; conversions still NOT_CONNECTED; never show 0,0,monetization,Network export missing,Import Impact/CJ/etc CSV; do not invent,M,Commercial proof,network,growth,in_progress
FR-011,P2,P2,AI visibility,RESOLVED,RESOLVED,NOT_CONNECTED,Still NOT_CONNECTED,0,measurement,Sample only,REAL AI Visibility export,S,Honest reporting,export,seo-ops,resolved
FR-012,P2,P0,Deploy / production parity,REGRESSED,REGRESSED_TO_P0,www parity external / assumed deployable,LIVE FAIL: sitemap 6370 monolithic vs local 3133 index; children 404; research 404; locale 410→404; FULL audit P0=8,parity NO,www crawl surface,Deploy lag,Deploy validated build; re-run seo:sitemap-reconcile --live + seo:audit FULL,S,Live crawl safety,deploy,engineering,regressed
FR-013,P3,P3,Thin alternatives,RESOLVED,RESOLVED,Pipedrive alts resolved,Still resolved,0,1 URL,—,Maintain depth,S,One URL,editorial,editorial,resolved
FR-014,P3,P3,Metric coherence,DEFERRED,UNCHANGED,Dual IMPROVE taxonomies,Still dual labels; plus KG totalEdges vs semanticEdges trap,0,reporting,Dual labels + edge definition,Document semanticEdges as comparable KPI,S,Clarity,docs,seo-ops,deferred_with_reason
FR2-017,P3,P3,Audit harness stability,DEFERRED,UNCHANGED,next start flaky,Local next was down during R4; www probed directly,n/a,local audit,Resource pressure,Keep disk headroom,S,Reliable audits,ops,engineering,deferred_with_reason
FR3-018,P2,P2,Link outcome honesty,IN_PROGRESS,IMPROVED_PARTIAL,Link applies w/ flat orphans,Orphans improved 80→15; semantic edges still flat — partial honesty win,−65 orphans,KG sample,Prior metric gap,Continue; never score contextualEdges as growth,M,Trust linking KPIs,engineering+seo,engineering,in_progress
FR4-019,P0,P0,Production sitemap architecture,NEW,NEW,n/a,www /sitemap.xml urlset 6370; all /sitemap-*.xml 404; robots still points at index path,n/a,sitemapindex+children,Stale Vercel deploy,Deploy current sitemap.ts architecture; purge CDN,S,Correct discovery,deploy,engineering,open
