ID,Previous severity,Current severity,Area,Status,Delta vs previous review,Previous evidence,Current evidence,Delta,Affected URLs/count,Root cause,Exact next fix,Effort,Expected impact,Dependency,Owner type,Register status
FR-001,P1,P1,Organic traffic / GSC,BLOCKED_EXTERNAL,UNCHANGED,8 clicks / ~115k imp / pos~74 stale GSC,Same window 2026-08-13; identical 8/115457/74.5,0,995 pages w/ impressions,Depth rankings + stale measurement,Import fresh GSC; Lane A CTR; deploy; earn links,L,Unlock clicks,Fresh GSC+deploy+time,editorial+seo,blocked_external
FR-002,P1,P1,Content uniqueness,IN_PROGRESS,IMPROVED_PARTIAL,1272 factory; 0 promo in waves,Estate still 1272/1272/1373; wave-local semantic risk cut on 100 packs; 36 promotions,0 estate / +100 wave semantic,+1272 factory packs,Programmatic packs + gate still TEMPLATE_HEAVY,Continue IMPROVE waves; promote only after unique_analysis; do not claim estate risk cut from wave-local deltas,XL,Reduce template risk,enrichment,editorial,in_progress
FR-003,P1,P1,Evidence / credibility,IN_PROGRESS,IMPROVED_PARTIAL,DV85 HO0,DV115 (reconcile) HO0; top-10 packs still not human-completed,+30 DV / 0 HO,315 products,No human sessions,Human finish top-10 ProductTestSessions; keep evidence waves honest,L,Trust,human testers,editorial,in_progress
FR-004,P1,P1,Authority,BLOCKED_EXTERNAL,UNCHANGED,NOT_CONNECTED,Still no REAL Ahrefs/Semrush/backlinks export,0,sitewide,No export,Drop REAL CSV under data/seo/imports/,M,Authority,export,growth,blocked_external
FR-005,P1,P1,Data freshness,BLOCKED_EXTERNAL,UNCHANGED,GSC through 2026-08-13,Identical archive; no newer Performance/Coverage/page×query,0,all opportunity reporting,No newer export,Weekly GSC+page×query export,S,Trustworthy before/after,GSC access,seo-ops,blocked_external
FR-006,P1,P1,Engineering quality,RESOLVED,RESOLVED,tsc0 tests1484 lint0err,Assumed held from R2; growth/guides/KG CLIs green this audit,0,CI,Prior debt cleared,Keep CI green,L,Safer deploys,eng,engineering,resolved
FR-007,P2,P2,Indexable quality,RESOLVED,RESOLVED,EC fails 0,Guides INDEXABLE 504; searchIndexable gates held,0,guides,Gates held,Maintain hard gates,M,Index quality,editorial,editorial+engineering,resolved
FR-008,P2,P2,Comparisons,IN_PROGRESS,IMPROVED_PARTIAL,IMPROVE remain; READY=0,Growth batch improved/promoted compares; estate still large MANUAL_REVIEW/IMPROVE backlog,partial,~1711-class backlog,Weak pairs,Rehab Lane A compares; keep gates,L,Safer compares,enrichment,editorial,in_progress
FR-009,P2,P2,Internal linking,IN_PROGRESS,REGRESSED_CLAIM,KG flat; FR009 claimed resolved,KG still 6785/26853; orphans 80/80 after FR009+growth link applies — outcome not graph-visible,0 graph,IMPROVE sample 80,Overlay links not reflected in KG metrics / orphan sample,Wire KG to count overlay inbound OR stop scoring link applies as discoverability wins,M,Honest discoverability,KG,seo,in_progress
FR-010,P2,P2,Commercial measurement,IN_PROGRESS,UNCHANGED,clicks REAL 0; conv NOT_CONNECTED,Same; 94 programmes,0,monetization,Network export missing,Import conversions; traffic for clicks,M,Commercial proof,network,growth,in_progress
FR-011,P2,P2,AI visibility,RESOLVED,RESOLVED,NOT_CONNECTED fixture gated,Still NOT_CONNECTED,0,measurement,Sample only,REAL AI Visibility export,S,Honest reporting,export,seo-ops,resolved
FR-012,P2,P2,Deploy lag,BLOCKED_EXTERNAL,UNCHANGED,www parity external,Local healthy; www not validated this audit,0,crawl,Deploy access,Deploy+validate www sitemaps,S,Live crawl,deploy,engineering,blocked_external
FR-013,P3,P3,Thin alternatives,RESOLVED,RESOLVED,Pipedrive alternatives thin,Deepened to 6 alts; SEO thin finding cleared 2026-09-09,resolved,1 URL,/alternatives/pipedrive/,Maintain decision depth,S,One URL,editorial,editorial,resolved
FR-014,P3,P3,Metric coherence,DEFERRED,UNCHANGED,Dual IMPROVE taxonomies,Still dual labels; guides-audit vs lifecycle vs dashboard,0,reporting,Dual labels,Optional unify,S,Clarity,docs,seo-ops,deferred_with_reason
FR2-017,P3,P3,Audit harness stability,DEFERRED,UNCHANGED,next start dropped mid FULL audit,Not re-probed this outcome audit,n/a,local audit,Resource pressure,Keep disk headroom; warm probes,S,Reliable audits,ops,engineering,deferred_with_reason
FR3-018,P2,P2,Link outcome honesty,NEW,NEW,n/a,Growth 86 + FR009 692 link applies with zero KG edge/orphan delta,n/a,KG sample,Metric/implementation gap,Fix KG inbound counting for overlays before next link wave scoring,M,Trust linking KPIs,engineering+seo,engineering,open
