ID,Previous severity,Current severity,Area,Status,Delta vs previous review,Previous evidence,Current evidence,Delta,Affected URLs/count,Root cause,Exact next fix,Effort,Expected impact,Dependency,Owner type,Register status
FR-001,P1,P1,Organic traffic / GSC,BLOCKED_EXTERNAL,UNCHANGED,8 clicks / ~115k imp / pos~74 stale GSC,Same window 2026-08-13; no new export,0,995 pages w/ impressions,Depth rankings + stale measurement,Import fresh GSC; Lane A; deploy; earn links,L,Unlock clicks,Fresh GSC+deploy+time,editorial+seo,blocked_external
FR-002,P1,P1,Content uniqueness,IN_PROGRESS,UNCHANGED,1272 factory; 0 promo in waves,Still 1272/1272/1373 template metrics; 0 new promotions,0,~1056 factory IMPROVE,Programmatic packs,Continue IMPROVE waves; promote only after semantic QA,XL,Reduce template risk,enrichment,editorial,in_progress
FR-003,P1,P1,Evidence / credibility,IN_PROGRESS,UNCHANGED,DV85 HO0,DV85 HO0 re-verified; top-10 drafts NOT_STARTED,0,315 products,No human sessions,Human finish top-10; evidence waves,L,Trust,human testers,editorial,in_progress
FR-004,P1,P1,Authority,BLOCKED_EXTERNAL,UNCHANGED,NOT_CONNECTED,Still no REAL Ahrefs/Semrush,0,sitewide,No export,Drop REAL CSV,M,Authority,export,growth,blocked_external
FR-005,P1,P1,Data freshness,BLOCKED_EXTERNAL,UNCHANGED,GSC through 2026-08-13,Identical archive; DIRECT_GSC=0; page×query absent,0,all opportunity reporting,No newer export,Weekly GSC+page×query export,S,Trustworthy before/after,GSC access,seo-ops,blocked_external
FR-006,P1,P1,Engineering quality,RESOLVED,RESOLVED,tsc0 tests1484 lint0err,Re-verified identical; no gate gaming (0 ts-ignore/skip),0,CI,Prior debt cleared,Keep CI green,L,Safer deploys,eng,engineering,resolved
FR-007,P2,P2,Indexable quality,RESOLVED,RESOLVED,EC fails 0,EC INDEXABLE fails still 0; searchIndexable false on INDEXABLE=0,0,guides,Gates held,Maintain hard gates,M,Index quality,editorial,editorial+engineering,resolved
FR-008,P2,P2,Comparisons,IN_PROGRESS,UNCHANGED,IMPROVE remain; READY=0,1699 INDEXABLE / 1711 IMPROVE / 0 READY; semantic mentions 59,0,~1711 IMPROVE,Weak pairs,Rehab with refresh-selection; keep gates,L,Safer compares,enrichment,editorial,in_progress
FR-009,P2,P2,Internal linking,RESOLVED,RESOLVED,hubs linked,KG flat; no new edge growth since prior,0,indexable orphans 0,—,Maintain seeds,M,Discoverability,KG,seo,resolved
FR-010,P2,P2,Commercial measurement,IN_PROGRESS,IMPROVED_PARTIAL,clicks REAL 0; conv NOT_CONNECTED,Same; plumbing held,0,monetization,Network export missing,Import conversions; traffic for clicks,M,Commercial proof,network,growth,in_progress
FR-011,P2,P2,AI visibility,RESOLVED,RESOLVED,NOT_CONNECTED fixture gated,Still NOT_CONNECTED,0,measurement,Sample only,REAL AI Visibility export,S,Honest reporting,export,seo-ops,resolved
FR-012,P2,P2,Deploy lag,BLOCKED_EXTERNAL,UNCHANGED,www parity external,Local healthy; www not validated this audit,0,crawl,Deploy access,Deploy+validate www sitemaps,S,Live crawl,deploy,engineering,blocked_external
FR-013,P3,P3,Thin alternatives,DEFERRED,UNCHANGED,Pipedrive alternatives thin,FULL audit still P2 thin finding,0,/alternatives/pipedrive/,Thin indexable,Deepen decision support,S,One URL,editorial,editorial,deferred_with_reason
FR-014,P3,P3,Metric coherence,DEFERRED,UNCHANGED,Dual IMPROVE taxonomies,Documented; disc=0 still,0,reporting,Dual labels,Optional unify,S,Clarity,docs,seo-ops,deferred_with_reason
FR-016,P2,P2,Indexability hygiene,RESOLVED,RESOLVED,orphans 0,Re-checked orphans=0,0,0,Phantom INDEXABLE,Keep detector,M,Honest sitemap,lifecycle,engineering,resolved
FR2-017,P3,P3,Audit harness stability,NEW,NEW,n/a,next start dropped mid FULL audit twice (disk/load); re-run cleared false P0s,n/a,local audit,Resource pressure on 13k SSG,Keep disk headroom; warm probes; heartbeat,S,Reliable audits,ops,engineering,open
